No,;Time;Source;Destination;;Length;Info;;;;;;;Time 1;Time 2;Delay;;Delay 1;Delay 2;Jitter
1;0;172,217,194,94;192,168,43,26;TCP;1414;80  >  59703 [ACK] Seq=1 Ack=1 Win=261 Len=1360;;;;;;;0;0,011258;0,011258;;-0,011064;0,000194;0,011258
2;0,011258;172,217,194,94;192,168,43,26;TCP;1414;80  >  59703 [ACK] Seq=1361 Ack=1 Win=261 Len=1360;;;;;;;0,011258;0,011452;0,000194;;0,008911;0,009105;0,000194
3;0,011452;192,168,43,26;172,217,194,94;TCP;54;59703  >  80 [ACK] Seq=1 Ack=2721 Win=520 Len=0;;;;;;;0,011452;0,020557;0,009105;;0,007235;0,01634;0,009105
4;0,020557;172,217,194,94;192,168,43,26;TCP;1414;80  >  59703 [ACK] Seq=2721 Ack=1 Win=261 Len=1360;;;;;;;0,020557;0,036897;0,01634;;-0,015984;0,000356;0,01634
5;0,036897;172,217,194,94;192,168,43,26;TCP;1414;80  >  59703 [ACK] Seq=4081 Ack=1 Win=261 Len=1360;;;;;;;0,036897;0,037253;0,000356;;0,014228;0,014584;0,000356
6;0,037253;192,168,43,26;172,217,194,94;TCP;54;59703  >  80 [ACK] Seq=1 Ack=5441 Win=520 Len=0;;;;;;;0,037253;0,051837;0,014584;;0,004444;0,019028;0,014584
7;0,051837;172,217,194,94;192,168,43,26;TCP;1414;80  >  59703 [ACK] Seq=5441 Ack=1 Win=261 Len=1360;;;;;;;0,051837;0,070865;0,019028;;-0,018768;0,00026;0,019028
8;0,070865;172,217,194,94;192,168,43,26;TCP;1414;80  >  59703 [ACK] Seq=6801 Ack=1 Win=261 Len=1360;;;;;;;0,070865;0,071125;0,00026;;0,016541;0,016801;0,00026
9;0,071125;192,168,43,26;172,217,194,94;TCP;54;59703  >  80 [ACK] Seq=1 Ack=8161 Win=520 Len=0;;;;;;;0,071125;0,087926;0,016801;;0,007109;0,02391;0,016801
10;0,087926;172,217,194,94;192,168,43,26;TCP;1414;80  >  59703 [ACK] Seq=8161 Ack=1 Win=261 Len=1360;;;;;;;0,087926;0,111836;0,02391;;-0,023649;0,000261;0,02391
11;0,111836;172,217,194,94;192,168,43,26;TCP;1414;80  >  59703 [ACK] Seq=9521 Ack=1 Win=261 Len=1360;;;;;;;0,111836;0,112097;0,000261;;0,010217;0,010478;0,000261
12;0,112097;192,168,43,26;172,217,194,94;TCP;54;59703  >  80 [ACK] Seq=1 Ack=10881 Win=520 Len=0;;;;;;;0,112097;0,122575;0,010478;;0,003858;0,014336;0,010478
13;0,122575;172,217,194,94;192,168,43,26;TCP;1414;80  >  59703 [ACK] Seq=10881 Ack=1 Win=261 Len=1360;;;;;;;0,122575;0,136911;0,014336;;-0,014109;0,000227;0,014336
14;0,136911;172,217,194,94;192,168,43,26;TCP;1414;80  >  59703 [ACK] Seq=12241 Ack=1 Win=261 Len=1360;;;;;;;0,136911;0,137138;0,000227;;0,012799;0,013026;0,000227
15;0,137138;192,168,43,26;172,217,194,94;TCP;54;59703  >  80 [ACK] Seq=1 Ack=13601 Win=520 Len=0;;;;;;;0,137138;0,150164;0,013026;;0,000948;0,013974;0,013026
16;0,150164;172,217,194,94;192,168,43,26;TCP;1414;80  >  59703 [ACK] Seq=13601 Ack=1 Win=261 Len=1360;;;;;;;0,150164;0,164138;0,013974;;-0,013748;0,000226;0,013974
17;0,164138;172,217,194,94;192,168,43,26;TCP;1414;80  >  59703 [ACK] Seq=14961 Ack=1 Win=261 Len=1360;;;;;;;0,164138;0,164364;0,000226;;0,034748;0,034974;0,000226
18;0,164364;192,168,43,26;172,217,194,94;TCP;54;59703  >  80 [ACK] Seq=1 Ack=16321 Win=520 Len=0;;;;;;;0,164364;0,199338;0,034974;;-0,034715;0,000259;0,034974
19;0,199338;172,217,194,94;192,168,43,26;TCP;1414;80  >  59703 [ACK] Seq=16321 Ack=1 Win=261 Len=1360;;;;;;;0,199338;0,199597;0,000259;;-9,1E-05;0,000168;0,000259
20;0,199597;172,217,194,94;192,168,43,26;TCP;1414;80  >  59703 [ACK] Seq=17681 Ack=1 Win=261 Len=1360;;;;;;;0,199597;0,199765;0,000168;;0,03122;0,031388;0,000168
21;0,199765;192,168,43,26;172,217,194,94;TCP;54;59703  >  80 [ACK] Seq=1 Ack=19041 Win=520 Len=0;;;;;;;0,199765;0,231153;0,031388;;-0,022031;0,009357;0,031388
22;0,231153;172,217,194,94;192,168,43,26;TCP;1414;80  >  59703 [ACK] Seq=19041 Ack=1 Win=261 Len=1360;;;;;;;0,231153;0,24051;0,009357;;-0,009173;0,000184;0,009357
23;0,24051;172,217,194,94;192,168,43,26;TCP;1414;80  >  59703 [ACK] Seq=20401 Ack=1 Win=261 Len=1360;;;;;;;0,24051;0,240694;0,000184;;0,014285;0,014469;0,000184
24;0,240694;192,168,43,26;172,217,194,94;TCP;54;59703  >  80 [ACK] Seq=1 Ack=21761 Win=520 Len=0;;;;;;;0,240694;0,255163;0,014469;;0,006556;0,021025;0,014469
